id,base,dest1,dest2,dest3
"albatros","YBL","YAL","YZT","YMP"
"bluebird","YCD","YQQ","YAZ","YPB"
"cuckoo","YCG","ZGF","YCW","ZMH"
"dove","YCW","YSE","YPB","YXT"
"eagle","YDQ","YXJ","YNH","YCQ"
"falcon","YDT","YCD","ZGF","YXC"
"goose","YGE","ZMH","YYJ","YVE"
"heron","YKA","YGE","YBD","YSE"
"ibis","YLW","YCP","YAA","YCG"
"junco","YPK","YCW","ZMH","YYF"
"kite","YPR","ZMT","YZP","YXT"
"loon","YPW","YBD","ZEL","YPU"
"magpie","YQZ","YXS","YWL","YKA"
"nuthatch","YRV","YCG","YMB","YCZ"
"owl","YSN","YRV","YCZ","YVE"
"pelican","YVR","YPR","YXS","YXC"
"quail","YXC","YBD","YAZ","YCP"
"raven","YXS","YPR","YDQ","YVR"
"swallow","YXT","XQU","YYD","ZST"
"thrush","YXX","YDT","YMB","YLW"
"unlikely","YYD","YPZ","YDL","ZST"
"vulture","YYE","YDL","YXJ","YXX"
"warbler","YYF","YHE","YKA","YXC"
"xwing","YYJ","YBL","YVR","YPW"
"yellowhammer","YZY","YQZ","ZEL","YGB"
"zipper","ZMH","YVR","YXS","YPR"
